CLASS,OPEN,CLOSE,MA20,MA20-CLOSE,MA60,MA60-CLOSE,MA200,MA200-CLOSE,20-60 CROSS,20-200CROSS,60-200CROSS,EMA20
1,1392.401,1415.09,1403.8169,0,1474.257683,1,1614.23002,1,0,0,0,1394.703905
0,1415.06,1386.19,1402.0635,1,1471.074583,1,1612.26698,1,0,0,0,1412.337619
0,1387.797,1394.43,1397.7796,1,1467.2518,1,1610.351905,1,0,0,0,1386.974762
0,1394.43,1412.705,1394.7262,0,1463.71255,1,1608.60267,1,0,0,0,1396.170476
0,1412.707,1398.565,1393.0457,0,1460.485383,1,1606.79033,1,0,0,0,1411.358333
0,1398.565,1401.16,1391.0994,0,1457.02895,1,1604.951435,1,0,0,0,1398.812143
0,1401.11,1411.76,1389.3919,0,1453.715033,1,1603.242275,1,0,0,0,1402.169524
0,1411.758,1382.382,1388.47835,1,1450.493433,1,1601.443385,1,0,0,0,1408.962095
0,1382.669,1384.312,1387.7997,1,1446.929017,1,1599.686695,1,0,0,0,1382.56581
0,1384.32,1384.031,1387.6583,1,1443.3939,1,1597.861365,1,0,0,0,1384.285238
0,1384.031,1377.552,1388.899,1,1439.76955,1,1596.007975,1,0,0,0,1383.413952
0,1377.528,1386.188,1390.3596,1,1436.456917,1,1594.229315,1,0,0,0,1378.374476
0,1386.191,1385.553,1390.2266,1,1433.645683,1,1592.550495,1,0,0,0,1386.127524
0,1385.532,1390.31,1390.64505,1,1430.864067,1,1590.91217,1,0,0,0,1386.006048
0,1390.465,1390.143,1392.00455,1,1427.692033,1,1589.222975,1,0,0,0,1390.294095
0,1390.095,1384.374,1392.1118,1,1424.5738,1,1587.591525,1,0,0,0,1389.593571
0,1384.437,1369.09,1392.0185,1,1421.44695,1,1585.911875,1,0,0,0,1382.918381
0,1369.056,1346.263,1391.166,1,1417.842167,1,1584.07472,1,0,0,0,1366.916
0,1346.274,1274.365,1388.67005,1,1414.3557,1,1581.892205,1,0,0,0,1339.415571
